folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,67.0,121.82990800075314,383
flipped_F_convex_1,1,67.0,121.82990800075314,383
flipped_A_concave_9,9,108.0,158.23586488768262,339
D_concave_7,7,-97.0,18.538440969853273,374
flipped_A_convex_2,2,79.0,127.16226870557458,377
H_concave_5,5,-66.0,58.7653088970676,375
E_convex_7,7,82.0,143.41297327091874,360
flipped_H_convex_0,0,65.0,136.8364233965913,376
flipped_warmup_8,8,75.0,135.81628154154862,364
flipped_G_concave_2,2,59.0,109.09435842744695,390
flipped_A_concave_0,0,71.0,112.60244149866692,403
warmup_7,7,62.0,122.70066728051862,377
flipped_H_concave_1,1,38.0,101.60550931036045,391
E_convex_9,9,115.0,175.64602816650807,328
flipped_A_convex_6,6,88.0,140.09884032507495,360
B_convex_5,5,72.0,123.93521747811626,377
warmup_9,9,95.0,154.8955985319142,345
flipped_A_convex_7,7,99.0,149.5183152992202,352
flipped_E_concave_6,6,79.0,133.72278076586647,362
flipped_exp_5,5,49.0,110.28307509385668,389
flipped_A_concave_8,8,85.0,137.540489328319,358
flipped_E_concave_1,1,21.0,98.26977576591922,381
flipped_C_concave_8,8,-2.0,94.33158212215771,361
flipped_F_convex_3,3,73.0,129.1232330110515,374
exp_2,2,31.0,94.33342462807525,401
flipped_E_concave_5,5,69.0,126.24131863040196,365
flipped_D_concave_9,9,97.0,151.64460549596774,342
flipped_F_convex_0,0,60.0,118.4290359488388,386
flipped_E_concave_7,7,89.0,142.9111560231791,353
B_concave_6,6,-38.0,58.905115106602324,387
flipped_D_concave_6,6,-17.0,69.78855392604439,381
flipped_A_concave_5,5,61.0,113.79511311288483,383
D_concave_5,5,-35.0,51.8730751901822,386
flipped_E_convex_0,0,50.0,112.39603169180981,392
flipped_G_concave_4,4,-36.0,62.73246852062907,382
flipped_B_convex_2,2,61.0,110.72317977981467,390
flipped_G_convex_2,2,107.0,164.651613687286,359
flipped_G_concave_1,1,2.0,81.05712523184842,394
A_concave_6,6,50.0,106.35672224530046,378
flipped_F_concave_2,2,-106.0,25.997832687694054,384
flipped_B_concave_9,9,79.0,140.525437748982,348
flipped_B_convex_9,9,117.0,168.5929140364232,333
flipped_warmup_6,6,55.0,116.21740385082008,384
flipped_B_convex_4,4,67.0,118.94684207983781,381
D_concave_2,2,14.0,79.11562712674822,398
flipped_B_convex_7,7,59.0,122.96555221902821,365
F_concave_1,1,-48.0,60.93093796453333,388
warmup_5,5,50.0,110.71934490938582,389
flipped_E_convex_6,6,76.0,137.86881017037032,367
flipped_C_concave_4,4,31.0,94.54482320935074,390
flipped_exp_7,7,61.0,121.94709578397809,378
flipped_B_concave_2,2,57.0,106.5735390223064,404
flipped_C_convex_9,9,111.0,156.0452794099362,340
flipped_warmup_0,0,32.0,92.75123850658692,407
flipped_G_convex_0,0,106.0,154.9747027923333,367
H_convex_5,5,87.0,149.80932128834291,356
flipped_A_convex_5,5,93.0,142.84019036676517,364
E_convex_2,2,52.0,113.34460662625278,384
E_concave_9,9,125.0,176.7364930461579,321
exp_8,8,75.0,135.63255756759247,364
flipped_E_convex_8,8,94.0,157.15832066007124,347
flipped_B_convex_0,0,50.0,102.68207067149037,398
flipped_C_convex_3,3,60.0,108.89945150467335,392
B_concave_8,8,70.0,127.78761747217513,367
G_convex_4,4,113.0,155.26596526821842,351
B_convex_3,3,64.0,116.50708651444963,385
flipped_G_concave_8,8,105.0,142.41834628278812,353
flipped_exp_3,3,39.0,99.97561660182264,397
G_convex_1,1,95.0,146.79612915974985,363
C_convex_6,6,76.0,127.3666466332494,379
H_convex_3,3,74.0,136.9561080811265,364
flipped_D_convex_2,2,68.0,118.28182106147796,387
flipped_E_convex_5,5,63.0,129.13850249520942,373
G_concave_9,9,501.0,150.8281942858582,334
C_concave_1,1,29.0,86.39287207938706,402
flipped_E_convex_4,4,67.0,128.3157213356257,376
flipped_exp_1,1,33.0,94.43611040918677,405
flipped_A_convex_3,3,84.0,135.14270711527493,372
flipped_G_concave_3,3,-55.0,48.629009806529595,386
flipped_F_concave_5,5,63.0,123.16473471500632,372
flipped_G_concave_7,7,88.0,133.07236095687463,366
B_concave_5,5,-54.0,47.20240571992291,392
flipped_G_convex_7,7,146.0,180.7232526409426,335
flipped_H_convex_2,2,68.0,135.59200241438484,368
flipped_G_concave_6,6,80.0,124.95063616349809,373
flipped_C_convex_4,4,56.0,109.39327996275782,388
A_concave_3,3,18.0,84.84346108045563,391
H_concave_8,8,501.0,158.96522319654366,350
A_concave_2,2,21.0,86.54618315521446,395
D_convex_6,6,77.0,135.85170385736996,370
flipped_warmup_1,1,33.0,94.43611040918677,405
flipped_G_convex_9,9,169.0,222.89127631307895,303
E_convex_3,3,62.0,124.35835830093785,380
F_concave_0,0,-86.0,33.88941706044894,392
flipped_E_concave_2,2,63.0,119.55498179770028,377
D_convex_0,0,47.0,104.18974989264248,395
D_concave_0,0,-39.0,36.76962194603421,406
H_concave_6,6,-40.0,77.75986324031942,370
flipped_B_concave_4,4,-112.0,8.111006974788367,397
flipped_F_convex_2,2,72.0,126.48735933385426,378
flipped_D_concave_3,3,25.0,92.63630918785417,394
A_concave_4,4,25.0,92.19016341144604,387
flipped_F_concave_8,8,128.0,172.77494426594242,347
H_convex_8,8,113.0,179.89959218236635,331
exp_6,6,55.0,114.93420353524111,384
flipped_A_convex_8,8,117.0,166.8652006617892,339
F_convex_8,8,109.0,161.5878249742191,341
G_convex_8,8,138.0,186.2316185924217,322
B_concave_0,0,-63.0,35.86276865176094,412
flipped_D_convex_8,8,94.0,153.33501353216076,350
exp_0,0,23.0,86.76714695328593,409
flipped_H_concave_0,0,501.0,71.53880435603865,391
flipped_warmup_2,2,49.0,104.96574753554059,401
G_convex_6,6,116.0,163.4229226697247,342
flipped_E_concave_4,4,65.0,124.74862090771327,369
flipped_D_concave_1,1,-79.0,20.667999931692453,402
flipped_G_convex_3,3,113.0,165.08846002878076,355
B_convex_6,6,68.0,124.22309207988047,372
exp_4,4,46.0,106.53382426910284,393
flipped_G_convex_5,5,501.0,184.84774312516438,347
D_concave_8,8,-7.0,77.59706624144624,361
D_concave_4,4,-47.0,43.967298099092275,390
flipped_A_convex_0,0,72.0,122.17883667147359,384
flipped_C_convex_8,8,96.0,147.6291945814982,359
B_concave_7,7,-8.0,79.7147272564217,380
flipped_C_convex_7,7,83.0,134.18400805457944,372
flipped_D_convex_7,7,110.0,145.86296991335203,363
E_convex_1,1,54.0,116.1307677979038,388
F_concave_4,4,-95.0,30.066929844956796,376
flipped_D_convex_4,4,57.0,117.92716751538819,379
flipped_F_concave_6,6,58.0,126.06308637272139,367
D_convex_3,3,61.0,119.72303238222655,383
C_concave_2,2,43.0,96.49462595968897,398
flipped_C_concave_7,7,75.0,121.73512766360517,374
H_concave_9,9,121.0,175.20884262478003,331
C_convex_5,5,58.0,113.692354267483,384
flipped_H_concave_3,3,21.0,120.60105044476873,383
H_concave_7,7,-3.0,104.96553187843942,363
H_convex_4,4,79.0,147.77369152152028,360
F_concave_3,3,-39.0,63.696739113709036,380
flipped_F_convex_4,4,80.0,134.81589537545864,370
H_convex_7,7,93.0,155.26364111381218,344
flipped_A_convex_1,1,77.0,127.48221302446919,380
flipped_B_concave_3,3,-84.0,31.22796940591316,400
flipped_B_convex_1,1,56.0,108.50986238594238,393
E_concave_8,8,105.0,157.9923384299205,340
F_convex_7,7,95.0,149.25773997250073,354
H_convex_1,1,67.0,129.95444628467766,372
warmup_4,4,46.0,106.53382426910284,393
F_convex_9,9,126.0,179.6220634290466,322
flipped_E_concave_3,3,68.0,128.27328836293387,373
flipped_D_convex_1,1,29.0,95.54962615020084,391
C_concave_3,3,34.0,91.73734325207211,394
flipped_B_convex_8,8,96.0,148.35219382055655,352
F_concave_9,9,103.0,169.32171292220377,328
flipped_A_concave_7,7,72.0,121.20884216515154,371
flipped_B_concave_1,1,-105.0,7.934497312627966,408
